Entity,Code,Year,Gini coefficient,Primary energy consumption per capita (kWh/person),GDP per capita,Human Development Index (UNDP),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",Net imports (TWh),Oil production per capita (kWh),Urban population (% of total population),Renewables per capita (kWh - equivalent)
Turkey,TUR,2007,0.38442799,16877.33398,16090.83496,0.708,6.2,-1.56,377.0320435,69.0530014,1.481743652
Turkey,TUR,2008,0.3902054,16733.42578,16182.73242,0.71,6.3,-0.33,378.8748169,69.65100098,1.374081787
Turkey,TUR,2009,0.389653091,16744.875,15188.41992,0.718,6.5,-0.73,414.5099487,70.24099731,1.494202759
Turkey,TUR,2010,0.387850803,17418.4043,16528.11914,0.734,6.7,-0.77,427.5996704,70.82499695,2.138984619
Turkey,TUR,2011,0.400393548,18326.6582,17919,0.753,7.2,0.91,398.4500122,71.40200043,2.183398193
Turkey,TUR,2012,0.401689369,19147.65234,18170,0.76,7.5,2.87,384.653656,71.97399902,2.397815674
Turkey,TUR,2013,0.401784979,18691.12305,18788,0.771,7.7,6.2,389.6948547,72.53099823,2.488390869
Turkey,TUR,2014,0.412365629,18932.56445,19277,0.778,7.6,5.26,394.9414368,73.07700348,1.849565186
Turkey,TUR,2015,0.428544577,20421.12305,19836,0.783,7.8,3.94,395.2331848,73.61100006,2.871988281
Turkey,TUR,2016,0.418737048,21132.18555,17906,0.787,8,4.88,397.8076477,74.13400269,3.059842041
Ukraine,UKR,1992,0.297089214,49217.26953,8130.276855,0.692,9.5,-5.09,1091.967163,66.83499908,0.453360168
Ukraine,UKR,1993,0.289269836,43227.80078,7090.257324,0.681,9.7,-1.54,1034.813354,66.87400055,0.636101746
Ukraine,UKR,1995,0.392875361,36338.26953,5024.181641,0.664,10,-2.95,1012.63269,66.9509964,0.578167542
Ukraine,UKR,1996,0.351559473,34085.73047,4636.626465,0.661,10.2,-2.02,1027.034058,66.98999786,0.504636108
Ukraine,UKR,1999,0.289614644,32067.84375,4751.316406,0.667,10.6,-3.44,965.4197388,67.10600281,0.859522339
Ukraine,UKR,2002,0.290456955,32372.58789,6262.982422,0.689,10.5,-3.12,978.6317139,67.28299713,0.586990723
Ukraine,UKR,2003,0.286648936,33456.18359,7029.570313,0.699,10.6,-4.94,1039.731079,67.42700195,0.564940247
Ukraine,UKR,2004,0.289340164,33586.53516,8049.395508,0.706,10.7,-5.33,1141.859985,67.59700012,0.719291687
Ukraine,UKR,2005,0.290207136,34238.98828,8496.676758,0.715,11.2,-8.35,1177.476074,67.79000092,0.757274658
Ukraine,UKR,2006,0.297943923,34853.50391,9355.988281,0.721,11.2,-10.44,1229.131714,67.96900177,0.788833374
Ukraine,UKR,2007,0.270126865,34893.44531,10355.81836,0.729,11.2,-9.17,1212.361206,68.14700317,0.64065448
Ukraine,UKR,2008,0.266382302,33840.90625,10824.07617,0.733,11.3,-6.73,1135.151489,68.32499695,0.721826477
Ukraine,UKR,2009,0.253166637,28943.45117,9381.224609,0.727,11.3,-4.27,1070.984131,68.5019989,0.737370483
Ukraine,UKR,2010,0.248189756,31160.72852,9601.208984,0.733,11.3,-4.06,959.0450439,68.59600067,0.81331366
Ukraine,UKR,2011,0.245518438,32326.8125,10333,0.738,11.3,-6.29,908.7590942,68.68900299,0.678387451
Ukraine,UKR,2012,0.247406569,31746.28516,10383,0.743,11.3,-11.47,918.4394531,68.78199768,0.679010132
Ukraine,UKR,2013,0.245549855,30241.98633,10404,0.745,11.3,-9.89,849.0212402,68.875,0.910641846
Ukraine,UKR,2014,0.240253659,26786.29297,9818,0.748,11.3,-8.43,757.472168,68.96800232,0.611982666
Ukraine,UKR,2015,0.254575403,22336.85156,8961,0.743,11.3,-1.35,679.0563965,69.06099701,0.427376892
Ukraine,UKR,2016,0.25002203,23482.62695,9214,0.746,11.3,-3.75,633.8262939,69.15399933,0.555753296
United Arab Emirates,ARE,2013,0.325104209,123206.8203,70791,0.851,10.3,-0.02,205805.2031,85.06600189,0.025787203
United Kingdom,GBR,1991,0.359274003,44705.55859,25792.01367,0.788,8.6,16.41,18525.73047,78.11199951,0.27289801
United Kingdom,GBR,1994,0.359789229,44038.67578,27277.54297,0.827,10.7,16.89,25477.79102,78.29299927,0.3634841
United Kingdom,GBR,1995,0.355166401,44060.71484,27861.21484,0.839,11.4,16.31,26076.35742,78.35299683,0.347911713
United Kingdom,GBR,1996,0.352952405,46052.85156,28472.24805,0.844,11.4,16.75,25964.47266,78.41300201,0.296754852
United Kingdom,GBR,1997,0.357351644,45105.80859,29259.76367,0.849,11.5,16.57,25507.5918,78.47200012,0.372278503
United Kingdom,GBR,1998,0.366214727,45430.89844,30077.38477,0.855,11.5,12.71,26363.40039,78.53199768,0.447765686
United Kingdom,GBR,1999,0.367837793,45044.78516,30932.53711,0.861,11.6,14.24,27155.54883,78.59100342,0.497992798
United Kingdom,GBR,2000,0.396101349,45219.74219,31946.03711,0.867,11.7,14.17,24917.63672,78.65100098,0.513043945
United Kingdom,GBR,2001,0.379033709,45490.87891,32660.44141,0.871,11.8,10.4,22951.14063,78.75099945,0.493882874
United Kingdom,GBR,2002,0.357194582,44367.56641,33271.30078,0.874,11.9,8.41,22729.07617,79.04699707,0.571285339
United Kingdom,GBR,2003,0.355040542,44893.49219,34232.42578,0.878,12,2.16,20711.86328,79.33899689,0.554090576
United Kingdom,GBR,2004,0.360015022,44899.73828,34865.78125,0.886,12.1,7.49,18525.94922,79.6289978,0.722164978
United Kingdom,GBR,2005,0.342732671,45092.97656,35623.625,0.891,12.2,8.32,16343.34277,79.91500092,0.867901367
United Kingdom,GBR,2006,0.346089371,44152.36719,36214.07031,0.889,12.4,7.52,14642.88965,80.1989975,0.934400574
United Kingdom,GBR,2007,0.356976124,42391.53516,36816.67578,0.892,12.6,5.21,14491.35254,80.47899628,1.026769653
United Kingdom,GBR,2008,0.341424672,41156.64453,36264.78906,0.896,12.8,11.02,13434.75488,80.75700378,1.198497437
United Kingdom,GBR,2009,0.342699528,38712.05078,34402.35938,0.899,13.1,2.86,12624.00879,81.03099823,1.372498901
United Kingdom,GBR,2010,0.343899337,39228.01172,34754.47266,0.905,13.2,2.66,11538.69922,81.30200195,1.435403931
United Kingdom,GBR,2011,0.331652452,36800.8125,34971,0.899,13,6.22,9441.129883,81.56999969,1.799974487
United Kingdom,GBR,2012,0.323450972,36969.95313,35185,0.898,12.9,11.86,8031.614258,81.83699799,2.016269897
United Kingdom,GBR,2013,0.332089732,36581.52734,35618,0.915,12.6,14.43,7274.366211,82.10199738,2.544144775
United Kingdom,GBR,2014,0.340489265,34309.67188,36436,0.919,12.7,20.52,7097.830566,82.36499786,3.045734131
United Kingdom,GBR,2015,0.332350808,34571.11328,36941,0.918,12.8,21.11,7997.192383,82.62599945,3.79473999
United Kingdom,GBR,2016,0.347796148,33979.8125,37334,0.92,12.9,17.75,8322.738281,82.88600159,3.75056665
United Kingdom,GBR,2017,0.351488307,33675.21484,37782.82813,0.922,12.9,14.76,8127.249512,83.14299774,4.360349609
United States,USA,2000,0.401406851,94229.3125,45886.46875,0.885,12.7,33.76,14349.33984,79.05699921,3.794951416
United States,USA,2001,0.405967813,91047.26563,45878.00781,0.887,12.7,22.03,14077.73145,79.23400116,3.115064697
United States,USA,2002,0.403544463,91541.03906,46266.29688,0.889,12.7,20.98,13841.41113,79.40899658,3.675836914
United States,USA,2003,0.407725912,91023.79688,47157.99609,0.893,12.8,6.42,13345.06152,79.58300018,3.804831055
United States,USA,2004,0.402533539,92003.14844,48492.71875,0.895,12.8,11.31,12942.84668,79.75700378,3.773519775
United States,USA,2005,0.409653696,91222.79688,49654.76172,0.898,12.8,24.78,12181.73438,79.9280014,3.848900391
United States,USA,2006,0.41398576,89663.52344,50489.85938,0.901,12.8,18.42,11893.41797,80.09899902,4.195230957
United States,USA,2007,0.407985674,90030.03125,50901.74609,0.905,12.9,31.25,11798.99414,80.26899719,3.937020752
United States,USA,2008,0.408121927,87007.35156,50275.74609,0.91,13.2,32.82,11581.56641,80.43800354,4.35432666
United States,USA,2009,0.406108136,81961.84375,48452.93359,0.91,13.2,34.05,12248.0791,80.60600281,4.753791992
United States,USA,2010,0.40010713,83983.50781,49266.91406,0.914,13.2,25.98,12538.29785,80.77200317,4.905102051
United States,USA,2011,0.409371125,82565.40625,49675,0.917,13.3,37.25,12930.33691,80.94400024,5.694799805
United States,USA,2012,0.409368614,79759.125,50394,0.918,13.3,47.26,14637.12793,81.1190033,5.492479492
United States,USA,2013,0.406520119,81313.85938,50863,0.916,13.2,57.88,16492.375,81.2990036,5.801432617
United States,USA,2014,0.41511606,81576.35938,51664,0.918,13.3,53.21,19147.46094,81.48300171,5.924801758
United States,USA,2015,0.412387776,80239.25,52591,0.92,13.3,66.67,20554.95313,81.67099762,5.992863281
United States,USA,2016,0.41121886,79634.29688,53015,0.922,13.4,66.5,19535.74609,81.86199951,6.59777002
United States,USA,2017,0.411805587,79422.46875,54007.76953,0.924,13.4,56.31,20539.83398,82.05799866,7.213187012
Uzbekistan,UZB,2000,0.361028142,24204.64844,4667.259766,0.595,9.1,1.28,3538.305664,46.12599945,0.701823608
Uzbekistan,UZB,2002,0.330436809,24251.68164,4777.288574,0.609,9.4,-0.08,3308.070801,47.08800125,0.709992859
Uzbekistan,UZB,2003,0.352687973,21959.91016,4844.72998,0.614,9.5,-0.08,3237.858643,47.57099915,0.80585376
Venezuela,VEN,2001,0.472314213,34495.625,14298.03711,0.68,6.4,-0.03,76930.625,87.84999847,7.204392578
Venezuela,VEN,2002,0.49013414,34265.98438,12856.04883,0.688,6.8,0.14,70750.79688,87.87599945,6.922990723
Venezuela,VEN,2003,0.481023205,31456.99609,11728.18262,0.687,7,-0.41,67124.92969,87.90200043,6.870416992
Venezuela,VEN,2004,0.475041249,33581.82813,13713.04492,0.7,7.2,-0.48,76123.73438,87.9280014,7.767624023
Venezuela,VEN,2005,0.494591771,34038.77734,14944.33984,0.714,7.4,-0.58,74538.23438,87.95400238,8.350957031
Venezuela,VEN,2006,0.447704983,35356.32422,16253.68555,0.727,7.6,-0.55,74129.44531,87.98000336,8.627644531
Vietnam,VNM,2002,0.370296242,3247.160156,3070.693604,0.595,5.8,0,2455.105469,25.51099968,0.651466675
Vietnam,VNM,2004,0.367858307,4186.885742,3437.664307,0.612,6.2,0,2858.256104,26.68300056,0.618149841
Vietnam,VNM,2006,0.357886156,4005.885986,3828.907715,0.624,6.6,0.97,2356.442139,27.88800049,0.66526709
Vietnam,VNM,2008,0.355703125,5301.373535,4200.235352,0.64,7,3.22,2044.878418,29.12800026,0.848724304
Vietnam,VNM,2010,0.392527248,6141.180176,4571.848633,0.654,7.5,4.64,2016.960327,30.41699982,0.903474487
Vietnam,VNM,2012,0.356458864,6973.534668,4984,0.67,7.8,1.45,2200.87207,31.75200081,1.631029419
Vietnam,VNM,2014,0.347553755,7976.73877,5455,0.678,7.8,1.44,2010.278687,33.11500168,1.840550293
Vietnam,VNM,2016,0.352667389,9606.198242,6062,0.689,8.1,1.33,1926.442505,34.50999832,1.842652588
